Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
459,Internet Service (B)China,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G EthernetInspur","120,240","1,080.0","9,995.0",
460,Internet Service (B)China,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G EthernetInspur","120,240","1,080.0","9,995.0",
461,Internet Service (B)China,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G EthernetInspur","33,840","1,080.0","2,740.7",
462,"Institute of Atmospheric Physics, Chinese Academy of SciencesChina","PreEarthSim- Sugon TC4600, Xeon Gold 6132 14C 2.6GHz, Intel Omni-PathSugon","19,264","1,075.0","1,602.8",344
463,CNRS/IDRIS-GENCIFrance,"Turing- BlueGene/Q, Power BQC 16C 1.60GHz, CustomIBM","98,304","1,073.3","1,258.3",493
464,University of EdinburghUnited Kingdom,"DiRAC- BlueGene/Q, Power BQC 16C 1.60GHz, CustomIBM","98,304","1,073.3","1,258.3",493
465,GovernmentChina,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, 10G EthernetLenovo","23,400","1,072.8","2,021.8",
466,Energy Company (D)United States,"Apollo 6000 XL260a, Intel Xeon Phi 7230 64C 1.3GHz, Infiniband EDRHPE","41,600","1,071.4","1,730.6",
467,Energy Company (D)United States,"Apollo 6000 XL260a, Intel Xeon Phi 7230 64C 1.3GHz, Infiniband EDRHPE","41,600","1,071.4","1,730.6",
468,DOE/SC/Argonne National LaboratoryUnited States,"BeBop- Cray CS400, Intel Xeon Phi 7230 64C 1.3GHz/Xeon E5-2695v4, Intel Omni-PathCray Inc.","46,720","1,070.6","1,750.0",
469,NVIDIA CorporationUnited States,"DGX SaturnV Volta- NVIDIA DGX-1 Volta36, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla V100Nvidia","22,440","1,070.0","1,819.8",97
470,DTU CBSDenmark,"Apollo 2000, Xeon Gold 6230 20C 2.1GHz, Infiniband EDRHPE","31,360","1,069.6","2,107.4",
471,AutomotiveUnited States,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2697v4 18C 2.3GHz, Infiniband FDRHPE","39,744","1,061.0","1,462.6",
472,GovernmentChina,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, 10G EthernetLenovo","23,040","1,060.2","1,990.7",
473,Service Provider TChina,"Lenovo x3950, Intel Xeon E7-8860v4 18C 2.2GHz, 10G EthernetLenovo","51,840","1,060.2","1,824.8",
474,Louisiana Optical Network InitiativeUnited States,"QB-2- Dell C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20xDell EMC","23,040","1,052.0","1,473.6",500
475,US Army Research Laboratory (ARL)United States,"Hellfire- SGI ICE XA, Xeon E5-2699v4  22C 2.2GHz, Infiniband EDRHPE","33,088","1,050.5","1,164.7",433
476,Commissariat a l'Energie Atomique (CEA)France,"Tera-100- Bull bullx super-node S6010/S6030Bull, Atos Group","138,368","1,050.0","1,254.5","4,590"
477,Internet Service AChina,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","39,520","1,048.0","2,014.0",
478,GovernmentChina,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, 10G EthernetLenovo","22,680","1,046.1","1,959.6",
