Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
68,Air Force Research LaboratoryUnited States,"Thunder- SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120PHPE","152,692","3,126.2","5,610.5","4,820"
69,SciNet/University of Toronto/Compute CanadaCanada,"Niagara- ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Infiniband EDRLenovo","60,000","3,074.2","4,608.0",676
70,"Academic Center for Computing and Media Studies (ACCMS),  Kyoto UniversityJapan","Camphor 2- Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnectCray Inc.","122,400","3,057.3","5,483.5",748
71,NVIDIA CorporationUnited States,"Circe- NVIDIA DGX-2H POD, Xeon Platinum 8174 24C 3.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2Nvidia","47,808","3,057.0","4,241.4",
72,CNRS/IDRIS-GENCIFrance,"Jean Zay- HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-PathHPE","61,120","3,054.3","4,867.2",
73,DKRZ - Deutsches KlimarechenzentrumGermany,"Mistral- bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDRBull, Atos Group","99,072","3,010.7","3,962.9","1,116"
74,National Supercomputer Centre (NSC)Sweden,"Tetralith- Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-PathClusterVision / Hammer","64,512","2,969.2","4,335.2",
75,"Information Technology Center, Nagoya UniversityJapan","Fujitsu PRIMEHPC FX100, SPARC64 XIfx 32C 2.2GHz, Tofu interconnect 2Fujitsu","92,160","2,910.0","3,244.0","1,382"
76,Leibniz RechenzentrumGermany,"SuperMUC- iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDRIBM/Lenovo","147,456","2,897.0","3,185.1","3,423"
77,Leibniz RechenzentrumGermany,"SuperMUC Phase 2- NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14Lenovo/IBM","86,016","2,813.6","3,578.3","1,481"
78,United Kingdom Meteorological OfficeUnited Kingdom,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnectCray Inc.","89,856","2,801.8","3,019.2","1,348"
79,United Kingdom Meteorological OfficeUnited Kingdom,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnectCray Inc.","89,856","2,801.8","3,019.2","1,348"
80,"Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and TechnologyJapan","JFRS-1- Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnectCray Inc.","54,560","2,787.1","4,190.2",698
81,"GSIC Center, Tokyo Institute of TechnologyJapan","TSUBAME 2.5- Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20xNEC/HPE","76,032","2,785.0","5,735.7","1,399"
82,Vienna Scientific ClusterAustria,"VSC-4- ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-PathLenovo","37,920","2,726.1","3,761.7",
83,Lawrence Livermore National LaboratoryUnited States,"LLNL/NNSA CTS-1 Jade- Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-PathPenguin Computing, Inc.","95,472","2,632.5","3,207.9","13,620"
84,Lawrence Livermore National LaboratoryUnited States,"LLNL CTS-1 Quartz- Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-PathPenguin Computing, Inc.","95,472","2,632.5","3,207.9","13,620"
85,Energy Company (A)Italy,"HPC3- Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR, NVIDIA Tesla K80Lenovo","66,000","2,592.0","3,798.6",
86,National Centre for Medium Range Weather ForecastingIndia,"Mihir- Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnectCray Inc.","83,592","2,570.4","2,808.7",955
87,National Supercomputing Center in TianjinChina,"Tianhe-1A- NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050NUDT","186,368","2,566.0","4,701.0","4,040"
88,China Meteorological AdministrationChina,"PAI-BSystem- Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100Sugon","50,816","2,547.0","4,229.8",710
89,DOE/SC/Pacific Northwest National LaboratoryUnited States,"cascade- Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110PAtipa Technology","194,616","2,539.1","3,388.0","1,384"
90,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES)France,"occigen2- bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDRBull, Atos Group","85,824","2,494.7","3,570.3","1,430"
91,Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC)United States,"Excalibur- Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnectCray Inc.","100,064","2,485.0","3,682.4","1,466"
92,Universitaet Aachen/RWTH - IT CenterGermany,"CLAIX (2018)- INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-PathNEC","61,200","2,483.6","4,112.6",692
93,Moscow State University - Research Computing CenterRussia,"Lomonosov 2- T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz,Intel Xeon Gold 6126, Infiniband FDR, Nvidia K40m/P-100T-Platforms","64,384","2,478.0","4,946.8",
94,Service Provider TChina,"B1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","60,000","2,462.4","4,800.0",
95,US Army Research Laboratory (ARL)United States,"Centennial- SGI ICE XA, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDRHPE","73,920","2,443.7","2,602.0",835
96,China Meteorological AdministrationChina,"PAI-ASystem- Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDRSugon","48,128","2,435.0","4,004.2",740
97,Service Provider TChina,"C1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","59,200","2,433.8","4,736.0",
98,Service Provider TChina,"D1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","58,800","2,421.6","4,704.0",
99,"Korea Meteorological AdministrationKorea, South","Nuri- Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnectCray Inc.","69,600","2,395.7","2,895.4","1,359"
100,"Korea Meteorological AdministrationKorea, South","Miri- Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnectCray Inc.","69,600","2,395.7","2,895.4","1,359"
Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
101,Service Provider TChina,"E1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","58,000","2,392.4","4,640.0",
102,National Institute for Fusion Science (NIFS)Japan,"Plasma Simulator- Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2Fujitsu","82,944","2,376.0","2,621.0","1,244"
103,Saudi AramcoSaudi Arabia,"Makman-3- PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-PathDell EMC","53,300","2,322.5","3,581.8",608
104,Service Provider TChina,"F1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","56,000","2,317.9","4,480.0",
105,Internet Service PChina,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G EthernetInspur","55,104","2,287.0","4,890.0",
106,Calcul Québec/Compute CanadaCanada,"Béluga- Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDRDell EMC","72,480","2,278.0","7,494.8",240
107,University of CambridgeUnited Kingdom,"Cumulus- PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-PathDell EMC","50,176","2,271.4","2,688.0",530
108,Saudi AramcoSaudi Arabia,"Makman-2- Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDRDell EMC","76,032","2,249.7","3,041.3","1,134"
109,Service Provider TChina,"G1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","54,000","2,242.9","4,320.0",
110,Internet CompanyChina,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G EthernetSugon","67,200","2,192.0","4,515.8",740
111,Meteo FranceFrance,"Prolix2- bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDRBull, Atos Group","72,000","2,168.0","2,534.4",830
112,Service Provider TChina,"H1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","52,000","2,166.5","4,160.0",
113,Meteo FranceFrance,"Beaufix2- bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDRBull, Atos Group","73,440","2,157.4","2,585.1",830
114,Internet CompanyChina,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G EthernetSugon","121,920","2,152.0","8,973.3","1,625"
115,Internet CompanyChina,"INSPUR NF5288M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G EthernetInspur","53,760","2,109.0","4,652.0",
116,Service Provider TChina,"I1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","50,000","2,094.0","4,000.0",
117,National Astronomical Observatory of JapanJapan,"ATERUI II- Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnectCray Inc.","40,000","2,090.0","3,072.0",496
118,Internet CompanyChina,"JD I1- ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G EthernetLenovo","52,320","2,074.0","4,018.2",
119,LvLiang Cloud Computing CenterChina,"Tianhe-2 LvLiang Solution- Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1PNUDT","174,720","2,071.4","3,074.5",997
120,Service Provider TChina,"J1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","48,000","2,014.5","3,840.0",
121,Internet CompanyChina,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G EthernetSugon","110,880","2,007.0","8,160.8","1,470"
122,Navy DSRCUnited States,"Koehr- HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-PathHPE","34,560","2,002.0","2,986.0",
123,Navy DSRCUnited States,"Gaffney- HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-PathHPE","34,560","2,002.0","2,986.0",
124,"Information Initiative Center, Hokkaido UniversityJapan","Grand Chariot- PRIMERGY CX2550 M4 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-PathFujitsu","39,760","2,000.0","3,053.6",
125,Internet Service (B)China,"TTSystem- Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G EthernetSugon","116,600","1,997.0","4,104.3","1,200"
126,Service Provider TChina,"K1- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","47,200","1,983.2","3,776.0",
127,EDFFrance,"Gaïa- Bull intel Cluster, Xeon Gold 6140 18C 2.3GHz, Intel Omni-PathBull, Atos Group","41,472","1,980.5","3,052.3",512
128,Internet CompanyChina,"HKVDPSystem- Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G EthernetSugon","121,920","1,979.0","4,096.5","1,216"
129,IT Service ProviderChina,"HKVDPSystem- Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G EthernetSugon","121,920","1,979.0","4,096.5","1,216"
130,Internet CompanyChina,"bsystem- Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G EthernetSugon","60,800","1,976.0","4,085.8",660
131,Universitaet MainzGermany,"Mogon II- NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-PathNEC/MEGWARE","49,432","1,967.8","2,800.9",657
132,National Institutes of Health (NIH)United States,"Biowulf- Apollo 2000 Gen 8/9, Xeon E5-2680v4/E5-2695v3 14C 2.4GHz, Infiniband FDRHPE","66,304","1,966.1","2,491.4",
133,Shanghai Supercomputer CenterChina,"MagicCube3- Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100Sugon","41,472","1,952.0","3,472.5",410
134,Japan Atomic Energy Agency (JAEA)Japan,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDRHPE","60,240","1,929.4","2,409.6","3,012"
135,Telecom CompanyChina,"CTcluster- Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G EthernetSugon","54,000","1,928.0","3,974.4",520
136,Descartes LabsUnited States,"Amazon EC2 C5 Instance cluster us-east-1a- Amazon EC2 Instance Cluster C5, Xeon Platinum 8124M 18C 3GHz, 25G EthernetAmazon Web Services","41,472","1,926.4","3,981.3",
137,Energy CompanyChina,"Huawei 2288H V5, Xeon Gold 6150 18C 2.7GHz, 10G EthernetHuawei Technologies Co., Ltd.","49,680","1,914.4","4,292.4",733
138,Swiss National Supercomputing Centre (CSCS)Switzerland,"Piz Daint Multicore- Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnectCray Inc.","65,268","1,896.8","2,193.0",732
139,Service Provider TChina,"A1- Lenovo HR650x, Xeon Gold 6148 20C 2.4GHz, 25G EthernetLenovo","47,040","1,882.6","3,612.7",
140,Commissariat a l'Energie Atomique (CEA)France,"Tera-1000-1- bullx DLC 720, Xeon E5-2698v3 16C 2.3GHz, Infiniband FDRBull, Atos Group","70,272","1,871.0","2,586.0","1,042"
141,Internet CompanyChina,"bsystem- Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G EthernetSugon","55,040","1,838.0","3,698.7",600
142,Petróleo Brasileiro S.ABrazil,"Fênix- SYS-1029GQ-TRT, Xeon Gold 5122 4C 3.6GHz, Infiniband EDR, NVIDIA Tesla V100Bull, Atos Group","48,384","1,836.0","4,297.4",287
143,Service Provider TChina,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G EthernetLenovo","43,200","1,831.5","3,456.0",
144,Science and Technology Facilities CouncilUnited Kingdom,"scafellpike- Bull Sequana X1000, Intel Xeon Phi 7210 64C 1.3GHz/Xeon Gold 6142, Mellanox EDRBull, Atos Group","80,640","1,829.9","4,329.7",529
145,Financial Company PChina,"ThinkSystem SR650, Xeon Gold 6138 20C 2GHz, 10G Ethernet, NVIDIA Tesla P100Lenovo","66,080","1,828.0","4,981.8",
146,Internet CompanyChina,"JGV100System- Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G EthernetSugon","41,760","1,825.0","3,353.2",240
147,Financial Company PChina,"Bank P A2- ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G EthernetLenovo","36,000","1,809.3","3,021.6",
148,Financial Company PChina,"Bank P A2- ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G EthernetLenovo","36,000","1,809.3","3,021.6",
149,Internet CompanyChina,"JCSystem- Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G EthernetSugon","110,080","1,807.0","3,698.7","1,100"
150,GovernmentChina,"S1- ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDRLenovo","33,840","1,804.0","2,923.8",
151,KTH - Royal Institute of TechnologySweden,"Beskow- Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnectCray Inc.","67,456","1,802.5","2,438.1",842
152,State Grid CorpChina,"ESSystem- Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G EthernetSugon","105,000","1,790.0","3,696.0","1,100"
153,Institute for Molecular ScienceJapan,"Molecular Simulator- NEC LX Cluster, Xeon Gold 6148/6154, Intel Omni-PathNEC","38,552","1,785.6","3,072.8",544
154,GovernmentChina,"R1- ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDRLenovo","33,120","1,768.6","2,861.6",
155,Internet CompanyChina,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G EthernetSugon","99,360","1,765.0","7,312.9","1,320"
156,Sandia National LaboratoriesUnited States,"Astra- Apollo 70, Cavium ThunderX2 ARM CN9975-2000  28C 2GHz, 4xEDR InfinibandHPE","138,096","1,758.0","2,209.5",
157,BASFGermany,"QURIOSITY- Apollo XL230k, Xeon Gold 6148 20C 2.4GHz, Intel Omni-PathHPE","35,280","1,750.2","2,709.5",
158,CMCCChina,"CSystem- Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G EthernetSugon","97,920","1,736.0","7,206.9","1,000"
159,GovernmentChina,"Q1- ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDRLenovo","32,400","1,735.7","2,799.4",
160,Internet Service AChina,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G EthernetInspur","38,400","1,729.0","3,072.0",
161,Internet Service AChina,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G EthernetInspur","38,400","1,729.0","3,072.0",
162,Internet Service AChina,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G EthernetInspur","38,400","1,729.0","3,072.0",
163,Service Provider TChina,"Internet Company T DD1- Lenovo RD350, Xeon E5-2620v4 8C 2.1GHz, 10G EthernetLenovo","118,400","1,728.9","3,978.2",
164,CINECAItaly,"Marconi Intel Xeon- Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Omni-PathLenovo","54,432","1,723.9","2,003.1","1,361"
165,Internet Service AChina,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet, NVIDIA Tesla P100Inspur","39,680","1,714.0","3,149.6",
166,CSC (Center for Scientific Computing)Finland,"Puhti- Bull Sequana X1000, Xeon Gold 6230 20C 2.1GHz, Mellanox HDR100Bull, Atos Group","40,000","1,706.7","2,688.0",585
167,GovernmentChina,"P1- ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDRLenovo","31,680","1,703.5","2,737.2",
168,GovernmentUnited States,"SwiftLucy- Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDRHPE","57,600","1,703.3","2,304.0","2,880"
169,"Tohoku University, Institute of Fluid ScienceJapan","AFI-NITY- PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, Infiniband EDRFujitsu","35,200","1,691.0","2,703.4",
170,Southern University of Science and TechnologyChina,"TaiYi- ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Intel Omni-PathLenovo","32,400","1,686.5","2,488.3",
171,GovernmentChina,"ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Infiniband EDRLenovo","35,200","1,684.2","2,703.4",
172,IIT CompanyChina,"ISystem- Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G EthernetSugon","97,920","1,683.0","3,446.8","1,050"
173,National Computational Infrastructure National Facility (NCI-NF)Australia,"Raijin- Hybrid Cluster PRIMERGY/x3550 M5/PowerEdge/Rackable/Rackable, Xeon , Infiniband EDR, NVIDIA Tesla P100, Xeon PhiFujitsu / Lenovo / Xenon","87,224","1,676.2","3,801.4",
174,CyfronetPoland,"Prometheus- HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40HPE","55,728","1,670.1","2,348.6",808
175,GovernmentChina,"O1- ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDRLenovo","30,960","1,668.2","2,674.9",
176,Internet CompanyChina,"ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G EthernetLenovo","41,760","1,667.7","3,207.2",
177,DOE/SC/LBNL/NERSCUnited States,"Edison- Cray XC30, Intel Xeon E5-2695v2 12C 2.4GHz, Aries interconnectCray Inc.","133,824","1,654.7","2,569.4","3,747"
178,Service Provider TChina,"Internet Company T Y1- Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G EthernetLenovo","89,600","1,653.2","3,440.6",
179,Cloud ProviderAustralia,"Software Company (M) AA1- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
180,Cloud ProviderCanada,"Software Company (M) CA3- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
181,Cloud ProviderCanada,"Software Company (M) CA2- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
182,Cloud ProviderCanada,"Software Company (M) CA1- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
183,Hosting ServicesUnited States,"Software Company (M) A16- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
184,Hosting ServicesUnited States,"Software Company (M) A15- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
185,Hosting ServicesUnited States,"Software Company (M) A14- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
186,Hosting ServicesUnited States,"Software Company (M) A13- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
187,Hosting ServicesUnited States,"Software Company (M) A11- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
188,Hosting ServicesUnited States,"Software Company (M) A10- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
189,Hosting ServicesUnited States,"Software Company (M) A9- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
190,Hosting ServicesUnited States,"Software Company (M) A8- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
191,Hosting ServicesUnited States,"Software Company (M) A7- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
192,Hosting ServicesUnited States,"Software Company (M) A6- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
193,Hosting ServicesUnited States,"Software Company (M) A4- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
194,Hosting ServicesUnited States,"Software Company (M) A3- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
195,Hosting ServicesUnited States,"Software Company (M) A2- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
196,Hosting ServicesUnited States,"Software Company (M) A1- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
197,Hosting ServicesUnited States,"Software Company (M) A12- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
198,Hosting ServicesUnited States,"Software Company (M) A5- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
199,Hosting ServicesUnited States,"Software Company (M) A26- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
200,Hosting ServicesUnited States,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
201,Hosting ServicesUnited States,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
202,Hosting ServicesUnited States,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
203,Hosting ServicesUnited States,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
204,Hosting ServicesUnited States,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
205,Hosting ServicesUnited States,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
206,Hosting ServicesUnited States,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
207,Hosting ServicesUnited States,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
208,Hosting ServicesUnited States,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
209,Hosting ServicesUnited States,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
210,Hosting ServicesUnited States,"Software Company (M) A38- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
211,Hosting ServicesUnited States,"Software Company (M) A37- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
212,Hosting ServicesUnited States,"Software Company (M) A36- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
213,Hosting ServicesUnited States,"Software Company (M) A35- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
214,Hosting ServicesUnited States,"Software Company (M) A34- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
215,Hosting ServicesUnited States,"Software Company (M) A33- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
216,Hosting ServicesUnited States,"Software Company (M) A32- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
217,Hosting ServicesUnited States,"Software Company (M) A31- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
218,Hosting ServicesUnited States,"Software Company (M) A30- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
219,Hosting ServicesUnited States,"Software Company (M) A29- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
220,Hosting ServicesUnited States,"Software Company (M) A28- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
221,Software Company (M)Netherlands,"NA5- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","57,600","1,649.1","2,119.7",
